,stadtteil,green_area_total_ha,green_area_mean_ha,green_space_count,stadtteil_,inhabitants,z_area_per_inhbt,z_perc_green_area,z_area_per_inhbt_percentile,status
72,Rissen,81.6515,1.63303,30,Rissen,16011.0,-0.5335962896628388,0.5249474274134576,0,very low
73,Rothenburgsort,22.1405,0.6709242424242424,13,Rothenburgsort,8945.0,-0.45121764513200185,0.11738195594674006,1,low
74,Rotherbaum,18.0945,0.8616428571428572,12,Rotherbaum,17103.0,-0.23679612699011027,-1.1287169793486944,2,medium
75,Rönneburg,9.1306,0.6087066666666666,7,Rönneburg,3425.0,-0.4626672596311339,-1.5123365354994303,1,low
76,Sasel,12.8478,0.5353249999999999,11,Sasel,24223.0,0.13570299573539682,0.19897052893882294,4,very high
77,Schnelsen,21.4104,0.6297176470588235,15,Schnelsen,30122.0,-0.05387718149799519,-0.016746106615085073,3,high
78,Sinstorf,8.1122,1.1588857142857143,2,Sinstorf,4261.0,-0.40317924623485424,-0.01016448277392263,1,low
81,Steilshoop,26.7457,1.069828,16,Steilshoop,19662.0,-0.32002139857995504,0.205224783702354,2,medium
82,Stellingen,34.4891,0.7664244444444445,20,Stellingen,26955.0,-0.3016356600706168,0.09754552976930672,2,medium
83,Sternschanze,9.8538,0.8957999999999999,7,Sternschanze,7867.0,-0.29497118890568164,0.3336210410774473,2,medium
84,Sülldorf,75.33670000000001,8.370744444444446,5,Sülldorf,9399.0,-0.5618571451754648,0.18433001576639257,0,very low
85,Tatenberg,55.5347,5.048609090909091,10,Tatenberg,575.0,-0.6071849422464616,0.8051293427213134,0,very low
86,Tonndorf,30.4495,1.1277592592592594,8,Tonndorf,15203.0,-0.4134696002870298,0.03549813815756033,1,low
87,Uhlenhorst,8.4867,0.4992176470588236,0,Uhlenhorst,18569.0,0.2556056138785281,1.236398857139056,4,very high
88,Veddel,4.542,0.34938461538461535,2,Veddel,4263.0,-0.2394233478881901,0.13392141408517358,2,medium
89,Volksdorf,43.344,0.8498823529411765,21,Volksdorf,20723.0,-0.4218612644534674,1.1387253538761606,1,low
90,Wandsbek,31.8485,0.649969387755102,16,Wandsbek,444037.0,4.912613957558321,0.11809468770744634,4,very high
91,Wellingsbüttel,36.6228,2.288925,2,Wellingsbüttel,11014.0,-0.49213299398268695,0.12016751080297003,0,very low
92,Wilhelmsburg,141.8108,0.8647,105,Wilhelmsburg,52683.0,-0.4640976370288033,0.13884018377423316,1,low
93,Wilstorf,55.954299999999996,1.9294586206896551,13,Wilstorf,17436.0,-0.48782635673132035,0.07663474892511062,0,very low
94,Winterhude,162.3162,1.575885436893204,52,Winterhude,56878.0,-0.47245241832002516,0.13762188142615903,1,low
95,Wohldorf-Ohlstedt,16.9613,0.8480650000000001,4,Wohldorf-Ohlstedt,4829.0,-0.4984859461065457,1.6361663621574547,0,very low
